;city;PC6;Homes_Passed;ACTIVE_CUSTOMERS_Resi;ACTIVE_CUSTOMERS_Soho;;;;;
;'S-GRAVENHAGE;2493ZM;37;29;0;;;;;
;'S-GRAVENHAGE;2493ZP;27;21;2;;;;;
;'S-GRAVENHAGE;2493ZR;10;5;1;;;;;
;'S-GRAVENHAGE;2493ZT;18;10;1;;;;;
;'S-GRAVENHAGE;2493ZV;35;23;0;;;;;
;'S-GRAVENHAGE;2493ZW;47;30;2;;;;;
;'S-GRAVENHAGE;2493ZZ;13;9;1;;;;;
;'S-GRAVENHAGE;2495AA;15;2;3;;;;;
;'S-GRAVENHAGE;2495AB;11;3;1;;;;;
;'S-GRAVENHAGE;2495AC;13;6;1;;;;;
;'S-GRAVENHAGE;2495AL;5;2;0;;;;;
;'S-GRAVENHAGE;2495AZ;1;0;1;;;;;
;'S-GRAVENHAGE;2496HA;29;15;0;;;;;
;'S-GRAVENHAGE;2496HE;17;9;1;;;;;
;'S-GRAVENHAGE;2496HG;22;12;0;;;;;
;'S-GRAVENHAGE;2496HL;15;8;0;;;;;
;'S-GRAVENHAGE;2496HM;28;21;2;;;;;
;'S-GRAVENHAGE;2496HN;17;7;1;;;;;
;'S-GRAVENHAGE;2496HR;9;4;0;;;;;
;'S-GRAVENHAGE;2496HW;19;8;1;;;;;
;'S-GRAVENHAGE;2496LC;30;24;0;;;;;
;'S-GRAVENHAGE;2496LD;15;7;0;;;;;
;'S-GRAVENHAGE;2496LE;22;7;1;;;;;
;'S-GRAVENHAGE;2496LG;11;9;0;;;;;
;'S-GRAVENHAGE;2496LH;33;20;1;;;;;
;'S-GRAVENHAGE;2496LJ;35;21;1;;;;;
;'S-GRAVENHAGE;2496LL;19;11;0;;;;;
;'S-GRAVENHAGE;2496LP;8;4;0;;;;;
;'S-GRAVENHAGE;2496LS;19;12;2;;;;;
;'S-GRAVENHAGE;2496LT;21;7;1;;;;;
;'S-GRAVENHAGE;2496LW;20;8;0;;;;;
;'S-GRAVENHAGE;2496LX;33;17;1;;;;;
;'S-GRAVENHAGE;2496LZ;19;9;1;;;;;
;'S-GRAVENHAGE;2496MB;19;11;0;;;;;
;'S-GRAVENHAGE;2496MC;23;8;1;;;;;
;'S-GRAVENHAGE;2496MD;12;6;0;;;;;
;'S-GRAVENHAGE;2496MK;28;8;2;;;;;
;'S-GRAVENHAGE;2496MN;17;7;1;;;;;
;'S-GRAVENHAGE;2496MR;15;9;1;;;;;
;'S-GRAVENHAGE;2496MS;31;16;0;;;;;
;'S-GRAVENHAGE;2496MV;28;13;0;;;;;
;'S-GRAVENHAGE;2496MX;16;7;2;;;;;
;'S-GRAVENHAGE;2496NB;22;13;1;;;;;
;'S-GRAVENHAGE;2496NC;15;5;1;;;;;
;'S-GRAVENHAGE;2496ND;27;13;1;;;;;
;'S-GRAVENHAGE;2496NJ;20;11;0;;;;;
;'S-GRAVENHAGE;2496NK;1;1;0;;;;;
;'S-GRAVENHAGE;2496NM;15;5;0;;;;;
;'S-GRAVENHAGE;2496NP;8;4;0;;;;;
;'S-GRAVENHAGE;2496NR;10;5;0;;;;;
;'S-GRAVENHAGE;2496NS;12;9;0;;;;;
;'S-GRAVENHAGE;2496NV;14;4;1;;;;;
;'S-GRAVENHAGE;2496NX;11;4;0;;;;;
;'S-GRAVENHAGE;2496PA;27;14;0;;;;;
;'S-GRAVENHAGE;2496PB;13;5;1;;;;;
;'S-GRAVENHAGE;2496PK;17;7;0;;;;;
;'S-GRAVENHAGE;2496PM;19;7;1;;;;;
;'S-GRAVENHAGE;2496PN;13;6;0;;;;;
;'S-GRAVENHAGE;2496PR;25;12;1;;;;;
;'S-GRAVENHAGE;2496PV;20;12;0;;;;;
;'S-GRAVENHAGE;2496PX;21;13;2;;;;;
;'S-GRAVENHAGE;2496RA;32;16;1;;;;;
;'S-GRAVENHAGE;2496RE;21;8;0;;;;;
;'S-GRAVENHAGE;2496RG;24;13;1;;;;;
;'S-GRAVENHAGE;2496RH;22;11;0;;;;;
;'S-GRAVENHAGE;2496RL;17;8;1;;;;;
;'S-GRAVENHAGE;2496RP;2;1;1;;;;;
;'S-GRAVENHAGE;2496RZ;2;1;0;;;;;
;'S-GRAVENHAGE;2496SB;1;0;0;;;;;
;'S-GRAVENHAGE;2496SK;35;14;0;;;;;
;'S-GRAVENHAGE;2496SM;33;12;0;;;;;
;'S-GRAVENHAGE;2496SN;16;10;0;;;;;
;'S-GRAVENHAGE;2496SR;20;11;0;;;;;
;'S-GRAVENHAGE;2496SV;35;20;1;;;;;
;'S-GRAVENHAGE;2496TA;16;7;0;;;;;
;'S-GRAVENHAGE;2496TL;13;10;0;;;;;
;'S-GRAVENHAGE;2514GD;39;10;11;;;;;
;'S-GRAVENHAGE;2514GE;36;5;1;;;;;
;'S-GRAVENHAGE;2514GG;23;6;3;;;;;
;'S-GRAVENHAGE;2514GJ;25;5;0;;;;;
;'S-GRAVENHAGE;2514GL;14;7;0;;;;;
;'S-GRAVENHAGE;2514GM;22;8;4;;;;;
;'S-GRAVENHAGE;2514GN;26;9;4;;;;;
;'S-GRAVENHAGE;2514GP;38;10;11;;;;;
;'S-GRAVENHAGE;2514GR;33;7;1;;;;;
;'S-GRAVENHAGE;2514GS;13;2;1;;;;;
;'S-GRAVENHAGE;2514HA;28;4;1;;;;;
;'S-GRAVENHAGE;2514HC;5;1;3;;;;;
;'S-GRAVENHAGE;2514HE;10;2;1;;;;;
;'S-GRAVENHAGE;2514HG;31;10;3;;;;;
;'S-GRAVENHAGE;2514HL;36;22;2;;;;;
;'S-GRAVENHAGE;2514HM;8;6;1;;;;;
;'S-GRAVENHAGE;2514HN;81;31;0;;;;;
;'S-GRAVENHAGE;2514HP;44;28;1;;;;;
;'S-GRAVENHAGE;2514HR;16;9;1;;;;;
;'S-GRAVENHAGE;2514HS;17;11;0;;;;;
;'S-GRAVENHAGE;2514HW;21;5;0;;;;;
;'S-GRAVENHAGE;2514HX;10;5;0;;;;;
;'S-GRAVENHAGE;2514JC;18;6;4;;;;;
;'S-GRAVENHAGE;2514JD;13;2;2;;;;;
;'S-GRAVENHAGE;2514JE;32;17;0;;;;;
;'S-GRAVENHAGE;2514JG;33;17;2;;;;;
;'S-GRAVENHAGE;2514JJ;3;0;0;;;;;
;'S-GRAVENHAGE;2514JL;15;1;4;;;;;
;'S-GRAVENHAGE;2514JM;15;5;1;;;;;
;'S-GRAVENHAGE;2514JN;6;1;1;;;;;
;'S-GRAVENHAGE;2514JP;27;7;2;;;;;
;'S-GRAVENHAGE;2514JR;8;2;2;;;;;
;'S-GRAVENHAGE;2514JS;15;1;5;;;;;
;'S-GRAVENHAGE;2514KA;18;7;0;;;;;
;'S-GRAVENHAGE;2514KB;24;9;1;;;;;
;'S-GRAVENHAGE;2514KC;14;4;2;;;;;
;'S-GRAVENHAGE;2514KE;12;8;0;;;;;
;'S-GRAVENHAGE;2514KG;15;7;0;;;;;
;'S-GRAVENHAGE;2514KH;24;8;1;;;;;
;'S-GRAVENHAGE;2514KK;11;5;0;;;;;
;'S-GRAVENHAGE;2514KS;21;8;0;;;;;
;'S-GRAVENHAGE;2514LA;31;20;0;;;;;
;'S-GRAVENHAGE;2514LC;35;17;0;;;;;
;'S-GRAVENHAGE;2514LE;15;5;1;;;;;
;'S-GRAVENHAGE;2514LG;15;5;1;;;;;
;'S-GRAVENHAGE;2514LH;16;12;0;;;;;
;'S-GRAVENHAGE;2514LL;25;14;3;;;;;
;'S-GRAVENHAGE;2514LN;21;10;2;;;;;
;'S-GRAVENHAGE;2514LP;17;12;1;;;;;
;'S-GRAVENHAGE;2514LS;25;15;0;;;;;
;'S-GRAVENHAGE;2514LW;20;14;0;;;;;
;'S-GRAVENHAGE;2514LX;18;11;0;;;;;
;'S-GRAVENHAGE;2514LZ;7;4;0;;;;;
;'S-GRAVENHAGE;2515AA;33;19;0;;;;;
;'S-GRAVENHAGE;2515AH;11;6;1;;;;;
;'S-GRAVENHAGE;2515AJ;70;17;4;;;;;
;'S-GRAVENHAGE;2515AM;16;8;4;;;;;
;'S-GRAVENHAGE;2515AN;24;5;0;;;;;
;'S-GRAVENHAGE;2515AS;24;9;2;;;;;
;'S-GRAVENHAGE;2515AW;44;17;2;;;;;
;'S-GRAVENHAGE;2515AZ;57;20;2;;;;;
;'S-GRAVENHAGE;2515BA;109;34;1;;;;;
;'S-GRAVENHAGE;2515BC;15;3;0;;;;;
;'S-GRAVENHAGE;2515BE;52;25;1;;;;;
;'S-GRAVENHAGE;2515BG;27;4;3;;;;;
;'S-GRAVENHAGE;2515BK;27;6;3;;;;;
;'S-GRAVENHAGE;2515BL;58;23;2;;;;;
;'S-GRAVENHAGE;2515BM;40;8;3;;;;;
;'S-GRAVENHAGE;2515BP;24;4;4;;;;;
;'S-GRAVENHAGE;2515BS;76;6;9;;;;;
;'S-GRAVENHAGE;2515BT;49;20;2;;;;;
;'S-GRAVENHAGE;2515BV;2;0;0;;;;;
;'S-GRAVENHAGE;2515BX;2;0;0;;;;;
;'S-GRAVENHAGE;2515DA;24;10;0;;;;;
;'S-GRAVENHAGE;2515DC;25;14;1;;;;;
;'S-GRAVENHAGE;2515EZ;30;13;0;;;;;
;'S-GRAVENHAGE;2515GB;16;8;1;;;;;
;'S-GRAVENHAGE;2515GC;96;18;2;;;;;
;'S-GRAVENHAGE;2515GD;45;28;0;;;;;
;'S-GRAVENHAGE;2515GE;7;0;0;;;;;
;'S-GRAVENHAGE;2515GG;4;3;0;;;;;
;'S-GRAVENHAGE;2515GJ;20;8;0;;;;;
;'S-GRAVENHAGE;2515GK;120;7;2;;;;;
;'S-GRAVENHAGE;2515GP;20;11;0;;;;;
;'S-GRAVENHAGE;2515GR;10;4;0;;;;;
;'S-GRAVENHAGE;2515GT;23;6;1;;;;;
;'S-GRAVENHAGE;2515GV;24;8;0;;;;;
;'S-GRAVENHAGE;2515GX;20;2;0;;;;;
;'S-GRAVENHAGE;2515HC;15;4;0;;;;;
;'S-GRAVENHAGE;2515HG;15;5;0;;;;;
;'S-GRAVENHAGE;2515HJ;21;6;0;;;;;
;'S-GRAVENHAGE;2515HK;17;5;0;;;;;
;'S-GRAVENHAGE;2515HP;16;4;0;;;;;
;'S-GRAVENHAGE;2515HR;17;9;0;;;;;
;'S-GRAVENHAGE;2515HV;21;8;0;;;;;
;'S-GRAVENHAGE;2515JB;21;8;0;;;;;
;'S-GRAVENHAGE;2515JC;23;11;1;;;;;
;'S-GRAVENHAGE;2515JE;9;3;0;;;;;
;'S-GRAVENHAGE;2515JG;11;5;0;;;;;
;'S-GRAVENHAGE;2515JJ;23;6;0;;;;;
;'S-GRAVENHAGE;2515JK;22;9;0;;;;;
;'S-GRAVENHAGE;2515JP;5;3;0;;;;;
;'S-GRAVENHAGE;2515JR;10;5;0;;;;;
;'S-GRAVENHAGE;2515JT;19;4;2;;;;;
;'S-GRAVENHAGE;2515JV;39;18;0;;;;;
;'S-GRAVENHAGE;2515KB;23;7;0;;;;;
;'S-GRAVENHAGE;2496TM;15;8;1;;;;;
;'S-GRAVENHAGE;2496TN;16;8;0;;;;;
;'S-GRAVENHAGE;2496VC;36;20;3;;;;;
;'S-GRAVENHAGE;2496VD;10;6;0;;;;;
;'S-GRAVENHAGE;2496VE;18;13;2;;;;;
;'S-GRAVENHAGE;2496VH;31;18;2;;;;;
;'S-GRAVENHAGE;2496VJ;19;12;2;;;;;
;'S-GRAVENHAGE;2496VK;27;15;1;;;;;
;'S-GRAVENHAGE;2496VL;18;9;1;;;;;
;'S-GRAVENHAGE;2496VP;14;7;2;;;;;
;'S-GRAVENHAGE;2496VT;19;12;3;;;;;
;'S-GRAVENHAGE;2496VW;16;7;3;;;;;
;'S-GRAVENHAGE;2496VX;19;5;0;;;;;
;'S-GRAVENHAGE;2496VZ;15;5;3;;;;;
;'S-GRAVENHAGE;2496WB;13;5;2;;;;;
;'S-GRAVENHAGE;2496WC;19;7;2;;;;;
;'S-GRAVENHAGE;2496WD;23;9;3;;;;;
;'S-GRAVENHAGE;2496WJ;13;7;0;;;;;
;'S-GRAVENHAGE;2496WK;15;7;1;;;;;
;'S-GRAVENHAGE;2496WR;13;6;0;;;;;
;'S-GRAVENHAGE;2496WS;25;13;1;;;;;
;'S-GRAVENHAGE;2496WV;30;19;0;;;;;
;'S-GRAVENHAGE;2496WX;15;11;0;;;;;
;'S-GRAVENHAGE;2496XA;1;0;0;;;;;
;'S-GRAVENHAGE;2496XG;34;1;0;;;;;
;'S-GRAVENHAGE;2496XL;34;3;0;;;;;
;'S-GRAVENHAGE;2496XW;83;42;1;;;;;
;'S-GRAVENHAGE;2496ZB;20;4;2;;;;;
;'S-GRAVENHAGE;2496ZC;51;24;1;;;;;
;'S-GRAVENHAGE;2496ZD;38;17;4;;;;;
;'S-GRAVENHAGE;2496ZH;14;5;0;;;;;
;'S-GRAVENHAGE;2496ZJ;12;10;0;;;;;
;'S-GRAVENHAGE;2496ZS;92;38;8;;;;;
;'S-GRAVENHAGE;2496ZT;87;28;3;;;;;
;'S-GRAVENHAGE;2496ZV;55;26;0;;;;;
;'S-GRAVENHAGE;2497AA;39;22;2;;;;;
;'S-GRAVENHAGE;2497AE;14;9;0;;;;;
;'S-GRAVENHAGE;2497AG;15;7;1;;;;;
;'S-GRAVENHAGE;2497AK;42;27;2;;;;;
;'S-GRAVENHAGE;2497AL;45;21;1;;;;;
;'S-GRAVENHAGE;2497AM;44;26;1;;;;;
;'S-GRAVENHAGE;2497AN;25;11;1;;;;;
;'S-GRAVENHAGE;2497AR;23;10;1;;;;;
;'S-GRAVENHAGE;2497AT;41;24;1;;;;;
;'S-GRAVENHAGE;2497AV;41;25;2;;;;;
;'S-GRAVENHAGE;2497AX;34;22;3;;;;;
;'S-GRAVENHAGE;2497BB;14;7;1;;;;;
;'S-GRAVENHAGE;2497BD;16;7;1;;;;;
;'S-GRAVENHAGE;2497BH;25;15;3;;;;;
;'S-GRAVENHAGE;2497BJ;17;11;0;;;;;
;'S-GRAVENHAGE;2497BN;20;9;0;;;;;
;'S-GRAVENHAGE;2497BP;24;14;0;;;;;
;'S-GRAVENHAGE;2497BS;32;15;1;;;;;
;'S-GRAVENHAGE;2497BW;31;16;1;;;;;
;'S-GRAVENHAGE;2497CA;25;13;1;;;;;
;'S-GRAVENHAGE;2497CB;26;10;3;;;;;
;'S-GRAVENHAGE;2497CC;28;15;0;;;;;
;'S-GRAVENHAGE;2497CG;20;11;0;;;;;
;'S-GRAVENHAGE;2497CH;37;19;0;;;;;
;'S-GRAVENHAGE;2497CJ;22;10;0;;;;;
;'S-GRAVENHAGE;2497CK;22;13;0;;;;;
;'S-GRAVENHAGE;2497CM;36;18;3;;;;;
;'S-GRAVENHAGE;2497CS;30;20;0;;;;;
;'S-GRAVENHAGE;2497CT;18;12;0;;;;;
;'S-GRAVENHAGE;2497CV;18;13;0;;;;;
;'S-GRAVENHAGE;2497CX;18;11;1;;;;;
;'S-GRAVENHAGE;2497CZ;40;18;1;;;;;
;'S-GRAVENHAGE;2497DD;24;15;0;;;;;
;'S-GRAVENHAGE;2497DE;24;13;0;;;;;
;'S-GRAVENHAGE;2497DL;20;11;0;;;;;
;'S-GRAVENHAGE;2497DM;31;18;0;;;;;
;'S-GRAVENHAGE;2497DN;11;5;1;;;;;
;'S-GRAVENHAGE;2497DP;20;11;0;;;;;
;'S-GRAVENHAGE;2497DR;31;19;1;;;;;
;'S-GRAVENHAGE;2497DW;33;19;0;;;;;
;'S-GRAVENHAGE;2497EA;29;21;1;;;;;
;'S-GRAVENHAGE;2497GB;1;0;1;;;;;
;'S-GRAVENHAGE;2497NB;13;7;2;;;;;
;'S-GRAVENHAGE;2497NC;35;23;4;;;;;
;'S-GRAVENHAGE;2497NH;1;0;1;;;;;
;'S-GRAVENHAGE;2497NX;4;2;1;;;;;
;'S-GRAVENHAGE;2497NZ;1;0;1;;;;;
;'S-GRAVENHAGE;2497TB;8;5;0;;;;;
;'S-GRAVENHAGE;2497TD;35;21;1;;;;;
;'S-GRAVENHAGE;2497TH;8;4;0;;;;;
;'S-GRAVENHAGE;2497TJ;16;6;0;;;;;
;'S-GRAVENHAGE;2497VK;20;9;0;;;;;
;'S-GRAVENHAGE;2497VL;20;9;0;;;;;
;'S-GRAVENHAGE;2497VM;20;12;1;;;;;
;'S-GRAVENHAGE;2497VN;12;6;0;;;;;
;'S-GRAVENHAGE;2497VR;16;8;1;;;;;
;'S-GRAVENHAGE;2497VT;14;7;3;;;;;
;'S-GRAVENHAGE;2497VX;31;18;0;;;;;
;'S-GRAVENHAGE;2497WB;23;14;0;;;;;
;'S-GRAVENHAGE;2497WC;23;14;0;;;;;
;'S-GRAVENHAGE;2497WG;14;9;1;;;;;
;'S-GRAVENHAGE;2497WJ;33;12;0;;;;;
;'S-GRAVENHAGE;2497WK;33;15;1;;;;;
;'S-GRAVENHAGE;2497WS;13;6;0;;;;;
;'S-GRAVENHAGE;2497WT;13;3;0;;;;;
;'S-GRAVENHAGE;2497WV;36;8;1;;;;;
;'S-GRAVENHAGE;2497WX;39;13;3;;;;;
;'S-GRAVENHAGE;2497WZ;25;12;0;;;;;
;'S-GRAVENHAGE;2497XJ;26;14;0;;;;;
;'S-GRAVENHAGE;2497XP;29;18;1;;;;;
;'S-GRAVENHAGE;2497XW;32;13;1;;;;;
;'S-GRAVENHAGE;2497ZA;25;11;1;;;;;
;'S-GRAVENHAGE;2497ZC;15;6;0;;;;;
;'S-GRAVENHAGE;2497ZE;34;15;0;;;;;
;'S-GRAVENHAGE;2497ZG;24;12;1;;;;;
;'S-GRAVENHAGE;2497ZK;14;10;1;;;;;
;'S-GRAVENHAGE;2497ZL;22;10;1;;;;;
;'S-GRAVENHAGE;2497ZM;19;10;0;;;;;
;'S-GRAVENHAGE;2497ZR;23;10;2;;;;;
;'S-GRAVENHAGE;2497ZS;19;8;1;;;;;
;'S-GRAVENHAGE;2497ZT;25;15;2;;;;;
;'S-GRAVENHAGE;2497ZV;25;9;2;;;;;
;'S-GRAVENHAGE;2497ZX;14;8;0;;;;;
;'S-GRAVENHAGE;2498AB;22;6;2;;;;;
;'S-GRAVENHAGE;2498AC;24;11;1;;;;;
;'S-GRAVENHAGE;2498AE;22;10;0;;;;;
;'S-GRAVENHAGE;2498AG;12;2;2;;;;;
;'S-GRAVENHAGE;2498AN;21;10;3;;;;;
;'S-GRAVENHAGE;2498AP;10;3;0;;;;;
;'S-GRAVENHAGE;2498AS;28;12;1;;;;;
;'S-GRAVENHAGE;2498AW;19;12;0;;;;;
;'S-GRAVENHAGE;2498AZ;26;7;1;;;;;
;'S-GRAVENHAGE;2498BA;8;3;1;;;;;
;'S-GRAVENHAGE;2498BC;15;6;1;;;;;
;'S-GRAVENHAGE;2498BD;16;11;0;;;;;
;'S-GRAVENHAGE;2498BE;22;11;1;;;;;
;'S-GRAVENHAGE;2498BH;50;26;1;;;;;
;'S-GRAVENHAGE;2498BJ;17;7;0;;;;;
;'S-GRAVENHAGE;2498BL;25;12;3;;;;;
;'S-GRAVENHAGE;2498BM;19;11;1;;;;;
;'S-GRAVENHAGE;2498BR;18;2;2;;;;;
;'S-GRAVENHAGE;2498BS;8;3;1;;;;;
;'S-GRAVENHAGE;2498BW;27;12;0;;;;;
;'S-GRAVENHAGE;2498BX;25;10;0;;;;;
;'S-GRAVENHAGE;2498CK;23;14;1;;;;;
;'S-GRAVENHAGE;2498CM;9;6;1;;;;;
;'S-GRAVENHAGE;2498CN;14;6;1;;;;;
;'S-GRAVENHAGE;2498CP;28;13;1;;;;;
;'S-GRAVENHAGE;2498CR;17;10;0;;;;;
;'S-GRAVENHAGE;2498CT;25;15;1;;;;;
;'S-GRAVENHAGE;2498CV;15;9;0;;;;;
;'S-GRAVENHAGE;2498DA;21;7;0;;;;;
;'S-GRAVENHAGE;2498DB;17;9;2;;;;;
;'S-GRAVENHAGE;2498DC;16;9;0;;;;;
;'S-GRAVENHAGE;2498DE;17;6;1;;;;;
;'S-GRAVENHAGE;2498DG;18;10;1;;;;;
;'S-GRAVENHAGE;2498DH;15;7;1;;;;;
;'S-GRAVENHAGE;2498DJ;14;8;1;;;;;
;'S-GRAVENHAGE;2498DS;7;4;0;;;;;
;'S-GRAVENHAGE;2498EB;41;17;2;;;;;
;'S-GRAVENHAGE;2498EC;3;2;0;;;;;
;'S-GRAVENHAGE;2498EE;29;16;0;;;;;
;'S-GRAVENHAGE;2498EG;38;13;1;;;;;
;'S-GRAVENHAGE;2498EH;49;23;3;;;;;
;'S-GRAVENHAGE;2498EN;15;10;1;;;;;
;'S-GRAVENHAGE;2498ES;19;3;1;;;;;
;'S-GRAVENHAGE;2498EW;27;13;0;;;;;
;'S-GRAVENHAGE;2498ZB;2;2;0;;;;;
;'S-GRAVENHAGE;2511AA;20;3;4;;;;;
;'S-GRAVENHAGE;2511AB;20;0;1;;;;;
;'S-GRAVENHAGE;2511AC;5;0;0;;;;;
;'S-GRAVENHAGE;2511AE;14;2;1;;;;;
;'S-GRAVENHAGE;2511AG;38;11;1;;;;;
;'S-GRAVENHAGE;2511AJ;15;1;2;;;;;
;'S-GRAVENHAGE;2511AK;13;0;0;;;;;
;'S-GRAVENHAGE;2511AP;21;7;2;;;;;
;'S-GRAVENHAGE;2511AT;97;16;3;;;;;
;'S-GRAVENHAGE;2511AV;32;7;0;;;;;
;'S-GRAVENHAGE;2511AX;36;14;3;;;;;
;'S-GRAVENHAGE;2511BA;15;1;0;;;;;
;'S-GRAVENHAGE;2511BD;6;0;0;;;;;
;'S-GRAVENHAGE;2511BH;18;5;5;;;;;
;'S-GRAVENHAGE;2511BL;80;44;0;;;;;
;'S-GRAVENHAGE;2511BM;15;2;0;;;;;
;'S-GRAVENHAGE;2511BN;3;1;3;;;;;
;'S-GRAVENHAGE;2511BS;8;0;0;;;;;
;'S-GRAVENHAGE;2511BW;3;0;0;;;;;
;'S-GRAVENHAGE;2511BZ;83;46;2;;;;;
;'S-GRAVENHAGE;2511CB;144;44;2;;;;;
;'S-GRAVENHAGE;2511CE;19;7;1;;;;;
;'S-GRAVENHAGE;2511CG;21;6;1;;;;;
;'S-GRAVENHAGE;2511CH;25;8;3;;;;;
;'S-GRAVENHAGE;2511CJ;24;7;3;;;;;
;'S-GRAVENHAGE;2511CR;18;4;6;;;;;
;'S-GRAVENHAGE;2511CT;1;0;0;;;;;
;'S-GRAVENHAGE;2511CV;21;6;6;;;;;
;'S-GRAVENHAGE;2511CX;6;0;0;;;;;
;'S-GRAVENHAGE;2511CZ;44;7;4;;;;;
;'S-GRAVENHAGE;2511DA;24;17;0;;;;;
;'S-GRAVENHAGE;2511DC;2;1;1;;;;;
;'S-GRAVENHAGE;2511DK;171;82;3;;;;;
;'S-GRAVENHAGE;2511DP;5;2;2;;;;;
;'S-GRAVENHAGE;2511EA;26;6;3;;;;;
;'S-GRAVENHAGE;2511EC;12;5;2;;;;;
;'S-GRAVENHAGE;2511ED;12;6;1;;;;;
;'S-GRAVENHAGE;2511EK;2;1;1;;;;;
;'S-GRAVENHAGE;2511EM;13;0;0;;;;;
;'S-GRAVENHAGE;2511EN;3;0;0;;;;;
;'S-GRAVENHAGE;2511EP;1;0;1;;;;;
;'S-GRAVENHAGE;2511GD;34;20;1;;;;;
;'S-GRAVENHAGE;2511GH;21;11;0;;;;;
;'S-GRAVENHAGE;2511GR;90;43;1;;;;;
;'S-GRAVENHAGE;2511GT;91;45;13;;;;;
;'S-GRAVENHAGE;2511LB;18;13;0;;;;;
;'S-GRAVENHAGE;2511PA;1;0;0;;;;;
;'S-GRAVENHAGE;2511VA;4;2;0;;;;;
;'S-GRAVENHAGE;2511VC;16;3;0;;;;;
;'S-GRAVENHAGE;2511VE;16;9;4;;;;;
;'S-GRAVENHAGE;2511VG;7;2;1;;;;;
;'S-GRAVENHAGE;2511VJ;90;44;2;;;;;
;'S-GRAVENHAGE;2511VK;42;12;0;;;;;
;'S-GRAVENHAGE;2511VL;12;3;2;;;;;
;'S-GRAVENHAGE;2511VM;7;1;0;;;;;
;'S-GRAVENHAGE;2511VP;34;18;0;;;;;
;'S-GRAVENHAGE;2511VV;36;17;1;;;;;
;'S-GRAVENHAGE;2511XH;78;37;1;;;;;
;'S-GRAVENHAGE;2511XL;16;11;0;;;;;
;'S-GRAVENHAGE;2511XM;24;12;0;;;;;
;'S-GRAVENHAGE;2511XN;13;7;0;;;;;
;'S-GRAVENHAGE;2511XS;24;12;0;;;;;
;'S-GRAVENHAGE;2511XW;25;12;0;;;;;
;'S-GRAVENHAGE;2511XZ;26;11;1;;;;;
;'S-GRAVENHAGE;2511ZD;24;11;0;;;;;
;'S-GRAVENHAGE;2512AC;31;7;1;;;;;
;'S-GRAVENHAGE;2512AD;40;18;6;;;;;
;'S-GRAVENHAGE;2512AE;36;17;1;;;;;
;'S-GRAVENHAGE;2512AG;74;3;11;;;;;
;'S-GRAVENHAGE;2512AH;51;17;3;;;;;
;'S-GRAVENHAGE;2512AJ;46;28;2;;;;;
;'S-GRAVENHAGE;2512AK;21;9;0;;;;;
;'S-GRAVENHAGE;2512AM;169;80;21;;;;;
;'S-GRAVENHAGE;2512AN;97;33;2;;;;;
;'S-GRAVENHAGE;2512AP;27;15;1;;;;;
;'S-GRAVENHAGE;2512AT;18;3;2;;;;;
;'S-GRAVENHAGE;2512AW;16;3;2;;;;;
;'S-GRAVENHAGE;2512BA;32;8;3;;;;;
;'S-GRAVENHAGE;2512BB;27;9;2;;;;;
;'S-GRAVENHAGE;2512BG;56;18;2;;;;;
;'S-GRAVENHAGE;2512BL;26;8;0;;;;;
;'S-GRAVENHAGE;2512BP;17;6;3;;;;;
;'S-GRAVENHAGE;2512BR;36;8;1;;;;;
;'S-GRAVENHAGE;2512BV;43;13;1;;;;;
;'S-GRAVENHAGE;2512BW;16;8;0;;;;;
;'S-GRAVENHAGE;2512BZ;31;12;1;;;;;
;'S-GRAVENHAGE;2512CA;71;36;1;;;;;
;'S-GRAVENHAGE;2512CB;41;9;4;;;;;
;'S-GRAVENHAGE;2512CC;60;16;0;;;;;
;'S-GRAVENHAGE;2512CD;21;8;0;;;;;
;'S-GRAVENHAGE;2512CJ;25;7;5;;;;;
;'S-GRAVENHAGE;2512CS;31;5;2;;;;;
;'S-GRAVENHAGE;2512CT;43;9;6;;;;;
;'S-GRAVENHAGE;2512CV;34;6;2;;;;;
;'S-GRAVENHAGE;2512CX;96;39;5;;;;;
;'S-GRAVENHAGE;2512CZ;25;6;1;;;;;
;'S-GRAVENHAGE;2512DE;19;6;0;;;;;
;'S-GRAVENHAGE;2512DG;38;8;0;;;;;
;'S-GRAVENHAGE;2512DH;37;13;0;;;;;
;'S-GRAVENHAGE;2512DK;26;13;0;;;;;
;'S-GRAVENHAGE;2512DL;21;10;0;;;;;
;'S-GRAVENHAGE;2512DM;27;14;0;;;;;
;'S-GRAVENHAGE;2512DN;8;2;0;;;;;
;'S-GRAVENHAGE;2512DP;31;19;0;;;;;
;'S-GRAVENHAGE;2512DR;25;13;0;;;;;
;'S-GRAVENHAGE;2512EE;43;24;0;;;;;
;'S-GRAVENHAGE;2512EG;62;22;0;;;;;
;'S-GRAVENHAGE;2512EH;67;22;1;;;;;
;'S-GRAVENHAGE;2512EK;29;5;2;;;;;
;'S-GRAVENHAGE;2512EL;13;3;1;;;;;
;'S-GRAVENHAGE;2512EM;40;14;2;;;;;
;'S-GRAVENHAGE;2512EN;26;7;0;;;;;
;'S-GRAVENHAGE;2512EP;36;11;3;;;;;
;'S-GRAVENHAGE;2512ER;34;17;1;;;;;
;'S-GRAVENHAGE;2512EW;113;46;5;;;;;
;'S-GRAVENHAGE;2512GA;87;28;6;;;;;
;'S-GRAVENHAGE;2512GB;34;9;1;;;;;
