;city;PC6;Homes_Passed;ACTIVE_CUSTOMERS_Resi;ACTIVE_CUSTOMERS_Soho;;;;;
;DELFT;2611SX;21;4;0;;;;;
;DELFT;2611SZ;23;9;2;;;;;
;DELFT;2611TB;16;6;0;;;;;
;DELFT;2611TC;14;7;1;;;;;
;DELFT;2611TD;14;8;0;;;;;
;DELFT;2611TH;22;9;0;;;;;
;DELFT;2611TJ;15;9;0;;;;;
;DELFT;2611TP;13;9;0;;;;;
;DELFT;2611TS;23;12;1;;;;;
;DELFT;2611TT;11;5;1;;;;;
;DELFT;2611TW;23;11;1;;;;;
;DELFT;2611VD;13;8;1;;;;;
;DELFT;2611VE;20;7;0;;;;;
;DELFT;2611VM;15;8;2;;;;;
;DELFT;2611VN;3;1;0;;;;;
;DELFT;2611VP;23;11;0;;;;;
;DELFT;2611VR;21;11;0;;;;;
;DELFT;2611VW;19;8;0;;;;;
;DELFT;2611WB;22;17;0;;;;;
;DELFT;2611WC;5;3;1;;;;;
;DELFT;2611WD;12;3;0;;;;;
;DELFT;2611WH;15;8;1;;;;;
;DELFT;2611WJ;6;3;0;;;;;
;DELFT;2611WP;60;34;2;;;;;
;DELFT;2611WS;34;11;0;;;;;
;DELFT;2611WT;21;8;0;;;;;
;DELFT;2611WZ;36;14;0;;;;;
;DELFT;2611XB;16;6;0;;;;;
;DELFT;2611XC;31;12;1;;;;;
;DELFT;2611XD;42;22;2;;;;;
;DELFT;2611XH;20;12;1;;;;;
;DELFT;2611XJ;15;4;0;;;;;
;DELFT;2611XK;15;6;2;;;;;
;DELFT;2611XS;14;11;0;;;;;
;DELFT;2611XW;9;5;0;;;;;
;DELFT;2612AA;13;9;0;;;;;
;DELFT;2612AB;15;9;0;;;;;
;DELFT;2612AC;19;10;0;;;;;
;DELFT;2612AE;17;12;0;;;;;
;DELFT;2612AG;14;8;0;;;;;
;DELFT;2612AH;12;3;0;;;;;
;DELFT;2612AJ;21;15;1;;;;;
;DELFT;2612AN;12;5;1;;;;;
;DELFT;2612AP;19;6;0;;;;;
;DELFT;2612AR;18;10;0;;;;;
;DELFT;2612AT;18;8;0;;;;;
;DELFT;2612AV;18;8;0;;;;;
;DELFT;2612AX;19;11;0;;;;;
;DELFT;2612AZ;13;4;0;;;;;
;DELFT;2612BD;11;5;0;;;;;
;DELFT;2612BG;6;4;1;;;;;
;DELFT;2612BJ;14;7;3;;;;;
;DELFT;2612BK;14;8;1;;;;;
;DELFT;2612BL;15;7;0;;;;;
